Record Length,Analog:14000
Sample Interval,CH:0.0001999999949
Vertical Units,CH1:V CH2:V,,,
Vertical Scale,CH1:+2.000000E-01 CH2:+1.000000E-02,,,
Vertical Offset,CH1:+0.000000E+00 CH2:-1.420000E-02,,,
Horizontal Units,us,,,
Horizontal Scale,200000.0000000000,,,
Model Number,SDS2352X-E,,,
Serial Number,SDS2ECCX5R0313,,,
Software Version,2.1.1.1.20 R3,,,
Source,CH1,CH2
Second,Volt,Volt
-1.351000E+00,-9.600000E-02,+4.780000E-02
-1.350800E+00,-9.600000E-02,+4.780000E-02
-1.350600E+00,-1.040000E-01,+4.820000E-02
-1.350400E+00,-1.040000E-01,+4.860000E-02
-1.350200E+00,-1.040000E-01,+4.820000E-02
-1.350000E+00,-9.600000E-02,+4.820000E-02
-1.349800E+00,-9.600000E-02,+4.820000E-02
-1.349600E+00,-9.600000E-02,+4.820000E-02
-1.349400E+00,-8.800001E-02,+4.820000E-02
-1.349200E+00,-8.800001E-02,+4.820000E-02
-1.349000E+00,-9.600000E-02,+4.860000E-02
-1.348800E+00,-9.600000E-02,+4.860000E-02
-1.348600E+00,-8.800001E-02,+4.860000E-02
-1.348400E+00,-8.800001E-02,+4.860000E-02
-1.348200E+00,-8.000001E-02,+4.860000E-02
-1.348000E+00,-8.000001E-02,+4.900000E-02
-1.347800E+00,-8.800001E-02,+4.860000E-02
-1.347600E+00,-8.800001E-02,+4.820000E-02
-1.347400E+00,-8.000001E-02,+4.860000E-02
-1.347200E+00,-8.000001E-02,+4.860000E-02
-1.347000E+00,-8.000001E-02,+4.900000E-02
-1.346800E+00,-8.000001E-02,+4.900000E-02
-1.346600E+00,-8.000001E-02,+4.860000E-02
-1.346400E+00,-7.200000E-02,+4.860000E-02
-1.346200E+00,-7.200000E-02,+4.900000E-02
-1.346000E+00,-8.000001E-02,+4.900000E-02
-1.345800E+00,-8.000001E-02,+4.900000E-02
-1.345600E+00,-7.200000E-02,+4.900000E-02
-1.345400E+00,-7.200000E-02,+4.940000E-02
-1.345200E+00,-7.200000E-02,+4.940000E-02
-1.345000E+00,-7.200000E-02,+4.900000E-02
-1.344800E+00,-6.400000E-02,+4.900000E-02
-1.344600E+00,-6.400000E-02,+4.900000E-02
-1.344400E+00,-6.400000E-02,+4.940000E-02
-1.344200E+00,-6.400000E-02,+4.940000E-02
-1.344000E+00,-6.400000E-02,+4.940000E-02
-1.343800E+00,-5.600000E-02,+4.940000E-02
-1.343600E+00,-5.600000E-02,+4.900000E-02
-1.343400E+00,-5.600000E-02,+4.900000E-02
-1.343200E+00,-5.600000E-02,+4.940000E-02
-1.343000E+00,-5.600000E-02,+4.940000E-02
-1.342800E+00,-5.600000E-02,+4.940000E-02
-1.342600E+00,-5.600000E-02,+4.940000E-02
-1.342400E+00,-5.600000E-02,+4.900000E-02
-1.342200E+00,-5.600000E-02,+4.940000E-02
-1.342000E+00,-5.600000E-02,+4.940000E-02
-1.341800E+00,-5.600000E-02,+4.940000E-02
-1.341600E+00,-5.600000E-02,+4.900000E-02
-1.341400E+00,-5.600000E-02,+4.900000E-02
-1.341200E+00,-4.800000E-02,+4.940000E-02
-1.341000E+00,-4.000000E-02,+4.940000E-02
-1.340800E+00,-4.000000E-02,+4.940000E-02
-1.340600E+00,-4.000000E-02,+4.980000E-02
-1.340400E+00,-4.000000E-02,+4.940000E-02
-1.340200E+00,-4.000000E-02,+4.940000E-02
-1.340000E+00,-4.000000E-02,+4.980000E-02
-1.339800E+00,-4.000000E-02,+4.940000E-02
-1.339600E+00,-4.000000E-02,+4.940000E-02
-1.339400E+00,-3.200000E-02,+4.980000E-02
-1.339200E+00,-4.000000E-02,+4.940000E-02
-1.339000E+00,-4.000000E-02,+4.940000E-02
-1.338800E+00,-4.000000E-02,+4.980000E-02
-1.338600E+00,-3.200000E-02,+4.980000E-02
-1.338400E+00,-3.200000E-02,+5.020000E-02
-1.338200E+00,-3.200000E-02,+5.020000E-02
-1.338000E+00,-3.200000E-02,+4.980000E-02
-1.337800E+00,-3.200000E-02,+4.980000E-02
-1.337600E+00,-3.200000E-02,+4.980000E-02
-1.337400E+00,-3.200000E-02,+4.980000E-02
-1.337200E+00,-3.200000E-02,+4.980000E-02
-1.337000E+00,-3.200000E-02,+4.980000E-02
-1.336800E+00,-2.400000E-02,+4.980000E-02
